Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,predictions
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_CREATEOBJECT,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_RESPONSE,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_SETMULTIVAR,0
MAC_ACTIVE,0.0.0.0,28:63:36:a9:ac:ec,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:a9:ac:ec,,,0
THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,ac:64:17:35:60:50,172.16.106.31,,0
MAC,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,Profinet,ac:64:17:03:4f:c8,,,0
MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,Profinet,ac:64:17:03:4f:c8,,,0
MAC_MAC,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,Profinet,ac:64:17:03:4f:c8,,,0
PROGRAM_UPLOAD,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,ac:64:17:35:60:50,172.16.106.31,,0
PROGRAM_UPLOAD,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,ac:64:17:03:4f:c5,172.16.106.13,,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_REQUEST,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_CONNECT,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_RESPONSE,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_DATA_FW1_5,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_DATA,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_SETMULTIVAR,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,PLUS_CREATEOBJECT,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_CONNECT,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_DATA,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_CREATEOBJECT,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_RESPONSE,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_REQUEST,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_SETMULTIVAR,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,PLUS_DATA_FW1_5,0
MAC,0.0.0.0,28:63:36:9a:90:b4,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:9a:90:b4,,,0
MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b4,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:9a:90:b4,,,0
MAC_MAC,0.0.0.0,28:63:36:9a:90:b4,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b4,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,28:63:36:9a:90:b4,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:9a:90:b4,,,0
MAC,0.0.0.0,ac:64:17:35:60:52,0.0.0.0,01:80:c2:00:00:0e,Profinet,ac:64:17:35:60:52,,,0
MAC_PROTOCOL,0.0.0.0,ac:64:17:35:60:52,0.0.0.0,01:80:c2:00:00:0e,Profinet,ac:64:17:35:60:52,,,0
MAC_MAC,0.0.0.0,ac:64:17:35:60:52,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:35:60:52,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,ac:64:17:35:60:52,0.0.0.0,01:80:c2:00:00:0e,Profinet,ac:64:17:35:60:52,,,0
MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,LLDP,ac:64:17:03:4f:c8,,,0
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c8,0.0.0.0,01:80:c2:00:00:0e,LLDP,,,,0
MAC,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,,1
MAC_PROTOCOL,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,,1
MAC_MAC,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,,1
